"ChoiceNm","ID","Set","cset","altij","Amount","MobilePd","Merged","Location","Vehicle","DayOfWek","Weekend","StrtTmHr","StayDrtn","AmountA","TmTClrwy","TmTPrdEn","FndMtrEx","FndMtrNP","FndClrwV","MtrExprd","MetrNtPd","ClrwyVlt","FrePrkng","APP","PrkngFrq","PrsnlAPD","PrfMblPy","CBDPrknR","time","Volume","Load","ZoneAPD","CpctyAdj","TrnvrAdj","IndxAdjs","choice","ChcNmOvr","ChocNmPd","ChcNmUnd","ChcNmUnp","LctnElzS","LctnAlcS","LctnTrbS","VehiclCr","VehiclUt","VehiclVn","VehclHvy","VhclOthr","DyOfWkMn","DyOfWkTs","DyOfWkWd","DyOfWkTh","DyOfWkFr","DyOfWkSt","DyOfWkSn","tmErlyMr","timMrnng","timeNoon","tmAftrnn","timEvnng","timeNght","tmMdnght","AmountDiff","OthrNtPd","NtPd","Paid"
1,1,1,4,4,14.7,1,0,2,2,2,0,9,132.216666666667,11.0180555555556,381.883333333333,741.883333333333,0,0,0,0,1,0,0,11.4742857142857,10,149.464285714286,1,1,2,9.66666666666667,6.08333333333333,0.641477272727273,21,0.46031746031746,28.968253968254,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.6819444444444,1,0,FALSE
3,2,2,4,2,4,1,0,2,1,2,0,13,63.7833333333333,5.31527777777778,130.783333333333,490.783333333333,0,0,0,3,3,0,0,11.4742857142857,10,149.464285714286,1,1,4,45,24.25,0.538740079365079,21,2.14285714285714,115.47619047619,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1.31527777777778,3,0,FALSE
2,3,3,4,3,8.8,0,1,2,1,2,0,12,110.316666666667,9.19305555555555,181.1,541.1,0,0,0,3,3,0,0,0,0,0,0,0,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.393055555555549,3,0,TRUE
3,4,4,4,2,7.1,0,1,2,1,2,0,12,103.4,8.61666666666667,184.883333333333,544.883333333333,0,0,0,3,3,0,0,7,1,87,0,1,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-1.51666666666667,3,0,FALSE
3,5,5,4,2,12.4,0,1,2,1,2,0,10,163.15,13.5958333333333,323.1,683.1,2,0,0,2,2,0,0,3.6,1,106,0,0,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-1.1958333333333,2,0,FALSE
2,6,6,4,3,14.87,1,1,2,1,2,0,10,182.583333333333,15.2152777777778,334.733333333333,694.733333333333,2,0,0,2,2,0,0,0,0,0,0,0,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.345277777777801,2,0,TRUE
1,7,7,4,4,17,0,1,2,1,2,0,12,171.633333333333,14.3027777777778,202.3,562.3,2,0,0,2,4,0,0,10,2,123,0,1,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.6972222222222,4,0,FALSE
3,8,8,4,2,3,0,0,2,1,2,0,4,51.7,4.30833333333333,714.516666666667,1074.51666666667,0,0,0,1,6,0,0,3.375,2,164,0,1,6,16,1.5,0.0775862068965515,21,0.761904761904762,7.14285714285714,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1.30833333333333,6,0,FALSE
2,9,9,4,3,14.7,0,0,2,3,2,0,7,177,14.75,501.633333333333,861.633333333333,0,2,0,0,2,0,0,2,1,24,0,1,2,9.66666666666667,6.08333333333333,0.641477272727273,21,0.46031746031746,28.968253968254,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0500000000000007,2,0,TRUE
3,10,10,4,2,9.8,0,0,2,2,2,0,9,134.383333333333,11.1986111111111,373.95,733.95,0,0,0,4,0,0,0,0,0,0,0,0,2,9.66666666666667,6.08333333333333,0.641477272727273,21,0.46031746031746,28.968253968254,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1.3986111111111,0,0,FALSE
1,11,11,4,4,14.7,0,0,2,1,2,0,10,98.4833333333333,8.20694444444445,335.45,695.45,0,0,0,4,0,0,0,14.7,1,246,0,1,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6.49305555555555,0,0,FALSE
1,12,12,4,4,8,0,0,2,2,2,0,10,37.0166666666667,3.08472222222222,337.366666666667,697.366666666667,0,2,0,0,2,0,0,5.95,2,73,0,1,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.91527777777778,2,0,FALSE
3,13,13,4,2,8,0,0,2,1,2,0,10,124.95,10.4125,332.283333333333,692.283333333333,0,0,0,4,0,0,0,7.88,5,107.8,0,0.8,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-2.4125,0,0,FALSE
1,14,14,4,4,14.7,0,0,2,2,2,0,11,96.8833333333333,8.07361111111111,287.85,647.85,0,0,0,4,0,0,0,9.3,2,180.666666666667,0,0.333333333333333,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6.62638888888889,0,0,FALSE
2,15,15,4,3,6,0,0,2,1,2,0,11,69.95,5.82916666666667,285.5,645.5,0,0,0,4,0,0,0,4.85,3,75.75,0,0.5,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.17083333333333,0,0,TRUE
1,16,16,4,4,13.3,0,0,2,1,2,0,11,97.2,8.1,284.516666666667,644.516666666667,0,0,0,4,0,0,0,0,0,0,0,0,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.2,0,0,FALSE
1,17,17,4,4,14.7,0,0,2,1,2,0,11,53.7,4.475,260.7,620.7,0,0,0,4,0,0,0,0,0,0,0,0,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10.225,0,0,FALSE
2,18,18,4,3,3.75,0,0,2,1,2,0,11,49.05,4.0875,256.5,616.5,0,0,0,4,0,0,0,0,0,0,0,0,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.3375,0,0,TRUE
1,19,19,4,4,5.5,0,0,2,1,2,0,11,52.5333333333333,4.37777777777778,247.35,607.35,0,0,0,4,0,0,0,7,1,86,0,1,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.12222222222222,0,0,FALSE
3,20,20,4,2,11.5,0,0,2,1,2,0,12,161.116666666667,13.4263888888889,237.85,597.85,0,0,0,3,3,0,0,4.4,1,120,0,1,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-1.9263888888889,3,0,FALSE
3,21,21,4,2,3.9,0,0,2,1,2,0,12,64.2166666666667,5.35138888888889,236.5,596.5,2,0,0,2,2,0,0,0,0,0,0,0,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-1.45138888888889,2,0,FALSE
1,22,22,4,4,12,0,0,2,2,2,0,12,130.683333333333,10.8902777777778,207.166666666667,567.166666666667,0,0,0,3,3,0,0,5.24090909090909,13,90.5909090909091,0,0.545454545454545,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.1097222222222,3,0,FALSE
1,23,23,4,4,7,0,0,2,1,2,0,12,50.9,4.24166666666667,195.116666666667,555.116666666667,2,0,0,2,2,0,0,0,0,0,0,0,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.75833333333333,2,0,FALSE
1,24,24,4,4,11,0,0,2,1,2,0,12,117.716666666667,9.80972222222222,191.516666666667,551.516666666667,0,0,0,3,3,0,0,2.5,1,83,0,0,3,33.3333333333333,15.1666666666667,0.453383683222393,21,1.58730158730159,72.2222222222222,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.19027777777778,3,0,FALSE
2,25,25,4,3,4.9,0,0,2,1,2,0,13,66.2333333333333,5.51944444444444,172.2,532.2,0,0,0,3,3,0,0,0,0,0,0,0,4,45,24.25,0.538740079365079,21,2.14285714285714,115.47619047619,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.61944444444444,3,0,TRUE
3,26,26,4,2,3.75,0,0,2,1,2,0,13,96.4166666666667,8.03472222222222,129.883333333333,489.883333333333,2,0,0,2,4,0,0,7.65,2,94,0,1,4,45,24.25,0.538740079365079,21,2.14285714285714,115.47619047619,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-4.28472222222222,4,0,FALSE
2,27,27,4,3,1,0,0,2,1,2,0,19,18.0666666666667,1.50555555555556,1440,175.516666666667,0,0,0,0,1,0,0,0,0,0,0,0,6,16,1.5,0.0775862068965515,21,0.761904761904762,7.14285714285714,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.50555555555556,1,0,TRUE
2,28,28,4,3,6.6,0,0,2,1,2,0,19,179,14.9166666666667,1440,179,0,0,0,0,1,0,0,0,0,0,0,0,6,16,1.5,0.0775862068965515,21,0.761904761904762,7.14285714285714,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-8.3166666666667,1,0,TRUE
2,29,29,4,3,3,0,0,2,1,2,0,20,76.3166666666667,6.35972222222222,1440,76.8166666666667,0,0,0,0,0,0,0,0,0,0,0,0,6,16,1.5,0.0775862068965515,21,0.761904761904762,7.14285714285714,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-3.35972222222222,0,0,TRUE
1,30,30,4,4,6.6,0,0,2,1,2,0,8,64.1666666666667,5.34722222222222,463.8,823.8,0,2,0,1,0,0,0,4.2,2,113.5,0,0,2,9.66666666666667,6.08333333333333,0.641477272727273,21,0.46031746031746,28.968253968254,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.25277777777778,0,0,FALSE
